id,explanation
2492,"Answer C:  Beetroot juice lowers ambulatory BP by about 8/5 mmHg compared with placebo Beetroot juice is a good source of nitrates, resulting in BP lowering through the provision of nitrates that result in vasodilatation, improved endothelial function, and lower BP (-7.7/5.2 mmHg on 24h ABPM). There is no known effect of beetroot juice on aldosterone. In the available clinical studies, the effect was sustained at least up to 4 weeks. Pulse wave reflections have not been studied with beetroot therapy, but pulse wave velocity tends to decrease, thus suggesting that wave reflection would also likely decrease. There are no reports of hypertension associated with beetroot juice."
2493,Answer B:  Target the hemoglobin A1c to <7.0 % before conception
2494,Answer C:  Increased AST and ALT
2495,Answer E:  Make no changes to the current regimen
2496,Answer A:  Induction of labor and delivery
2497,Answer D:  Continue intravenous magnesium and transition to oral antihypertensive medications
2498,Answer A:  Labetalol
2499,Answer C:  Aspirin at 81 mg daily
2500,Answer C:  It increases the risk of cardiovascular disease
2501,Answer B:  She is at increased risk of urinary tract infection
2502,Answer D:  Acute fatty liver of pregnancy (AFLP)
2503,Answer A:  Transfuse platelets and packed red blood cells
2504,Answer B:  Long-chain 3-hydroxyl CoA dehydrogenase
2505,Answer C:  Observation with expectant medical management
2506,Answer D:  Renal blood flow returns to pre-pregnancy levels
2507,Answer D:  Preeclampsia
2508,Answer A:  Intravenous normal saline plus furosemide
2509,Answer D:  Hemodialysis totaling ≥36 h/wk
2510,Answer C:  A low soluble fms-like tyrosine kinase-1 to placental growth factor ratio
2511,Answer C:  Enalapril
2512,"Answer B:  She should start aspirin 81 mg daily immediately after pregnancy is diagnosed Approximately one in three women who have received a kidney transplant develop preeclampsia during pregnancy. Therefore, prophylaxis with low-dose aspirin is appropriate. In addition, heightened antenatal surveillance should be offered, including fetal growth and Doppler monitoring starting at 28 weeks gestation. The majority of women with kidney transplants are delivered by caesarean section. However, the indications for surgical delivery are the standard obstetric maternal or fetal indications, and vaginal delivery is not contraindicated. Therefore, option A is incorrect. Mycophenolate mofetil should be changed to azathioprine at least 3 months prior to attempting to conceive, to ensure graft stability; hence, option C is incorrect. Risk factors for adverse graft outcomes include hypertension, pre-pregnancy serum creatinine levels >1.5 mg/dl, and black ethnicity. There is no evidence to support an increased incidence of graft rejection after delivery, therefore commencing prednisone postpartum (option D) is incorrect."
2513,Answer A:  The probability of achieving pregnancy is reduced compared with spontaneous conception
2514,Answer B:  Stop mycophenolate mofetil and start azathioprine
2515,Answer D:  Anti-Ro and anti-La antibodies
2516,Answer C:  Furosemide
2517,Answer B:  Reduce the tacrolimus dose
2518,Answer B:  Enzyme replacement therapy
2519,Answer D:  It does not increase the risk for a small gestation baby
2520,Answer C:  A reduction in the loading dose and maintenance dose
2521,"Answer C:  Empiric therapy with predisone and azathioprine, followed by adjusted treatment after delivery based on kidney biopsy performed postpartum "
2522,Answer A:  Her risk of progression to ESRD during or shortly postpartum is about 20%
2523,Answer D: IgA nephropathy
2524,Answer C: Measure or estimate 24-hour creatinine excretion rate
2525,Answer E: Rituximab
2526,Answer D: Stain prior kidney biopsy with Congo Red
2527,Answer E: No additional diagnostic studies are required
2528,Answer A: Oral angiotensin receptor blockers (ARBs)d
2529,Answer A: Oral glucocorticoids
2530,Answer B: Oral cyclosporine and low-dose steroids for ≥4 months
2531,Answer C:  As in A plus widespread effacement of the podocyte foot processes by electron microscopy
2532,"Answer C: Hyperexpression of PLA2R antigen by immunohistochemical studies of pronasedigested, paraffin-preserved specimens  "
2533,Answer E:  Continued supportive care and observation
2534,Answer B:  Pronase digestion of paraffin-embedded material and staining for monoclonal IgG (light and heavy chains)
2535,Answer A:  Sarcoidosis causing secondary membranous nephropathy
2536,Answer B:  Oral ACEIs or ARBs
2537,Answer D:  Perform a laser dissection/mass spectrometry analysis of the biopsy specimen
2538,Answer E:  Serum immunofixation and free light-chain assays
2539,Answer B:  An underlying autoimmune disorder
2540,Answer B:  Staining the kidney biopsy for hepatitis B surface antigen and core antigen
2541,Answer D:  Sofosbuvir plus simeprevir plus rituximab
2542,"Answer C:  IgA−dominant, infection−related GN  "
2543,"Answer C:  Kidney prognosis is likely to be good long term, but uncertainty exists; therefore, yearly follow-up is advisable  "
2544,Answer A:  A calcineurin inhibitor
2545,Answer C:  Treat with cyclophosphamide and corticosteroids as outlined in choice B but reduce the doses by ≥20%
2546,Answer B:  Either intravenous cyclophosphamide or intravenous rituximab
2547,Answer A:  Rituximab > azathioprine > mycophenolate > extended cyclophosphamide
2548,"Answer A:  Plasmapheresis, high−dose corticosteroids, and cyclophosphamide  "
2549,Answer A:  Provide supportive care and management for ESRD
2550,"Answer A:  The long−term prognosis is favorable, because the proteinuria declined to <0.7 g/d after 1 year  "
2551,Answer B:  Add low−dose Euro lupus cyclophosphamide for 3 months to corticosteroids
2552,Answer B:  A sustained remission for at least 24 months
2553,Answer E:  Conduct a detailed evaluation of his diet
2554,Answer E:  Adynamic bone disease
2555,"Answer B:  All surgical approaches, such as partial, subtotal, or total parathyroidectomy with or without autotransplantation, are effective  "
2556,Answer B:  Begin cinacalcet therapy
2557,Answer D:  Cinacalcet
2558,Answer D:  Add teriparatide
2559,Answer A:  The effect of phosphate binders does not increase linearly with dose
2560,Answer C:  Lithium-related primary hyperparathyroidism
2561,Answer C:  Elevated IgGκ monoclonal protein
2564,Answer D:  Add sodium thiosulfate
2566,Answer A:  Start bisphosphonate therapy
2567,Answer C:  Identify the method of serum phosphate measurement
2568,"Answer D:  24,25-dihydroxy vitamin D level "
2569,Answer B:  Weight-based dose of denosumab
2570,Answer C:  Giant cell granuloma formation
2571,Answer A:  Prolonged hypocalcemia
2572,Answer A:  Hypercalcemia
2573,Answer C:  Both hypomagnesemia and hypermagnesemia increase the risk of premature mortality in dialysis patients
2574,Answer A:  Cinacalcet therapy
2575,Answer B:  A 25-hydroxy vitamin D level
2576,Answer D:  Acetazolamide
2577,Answer A:  The release of phosphaturic factor from the liver
2578,Answer C:  Point of care ultrasonography
2579,Answer C:  Ketoconazole
2581,Answer C:  The stone should be sent for chemical analysis
2582,Answer C:  Silodosin
2583,Answer B:  His peritonitis-free survival after switching back to PD is comparable with that of those who did not require transfer to hemodialysis after experiencing peritonitis
2585,Answer B:  HHD would confer a lower risk of hospitalization compared to PD
2586,Answer A:  Repeat the cell count after infusing 1 L of dialysate that dwells for 1-2 hours
2587,Answer B:  It results in improved fluid balance
2588,Answer A:  An increased risk of infectious complications
2589,Answer C:  An increase in dialysate sodium to 140 mEq/L
2590,Answer D:  An improvement in peak oxygen consumption
2591,Answer C:  It will likely delay or obviate the need for future parathyroidectomy
2592,Answer B:  He has about a 10% risk of persistent hyperparathyroidism
2593,Answer C:  Improved relative mortality
2594,Answer A:  Increased 6-month mortality
2595,Answer D:  <4% weight gain
2596,Answer D:  No additional management
2597,Answer C:  They enhance flow-mediated brachial artery dilation
2598,Answer C:  Gradual lowering of the target weight
2599,Answer D:  Hand hygiene after removal of gloves and other personal protective equipment
2600,Answer C:  Referral to nephrologists when patients are anticipated to require RRT at least 1 year in advance
2601,Answer D: An additional provider visit within the month following discharge
2602,Answer D:  Her family history
2603,Answer C:  Stabilization of systemic markers of inflammation
2604,Answer A:  A dialysate calcium level of 2.0 mEq/L
2605,Answer D:  Continue pravastatin at the current dose
2606,Answer B:  Lack of interest
2607,Answer B:  Transesophageal echocardiography
2608,Answer E:  Multiple daily insulin injections
2609,Answer B:  An oral charcoal adsorbent
2610,Answer C:  Bisoprolol
2611,Answer D:  Her insurance status
2612,Answer C:  Warfarin with time in the therapeutic range >70%
2613,Answer D: Increase furosemide to 40 mg twice daily
2614,Answer D: Furosemide at 40 mg/d plus sodium chloride tablets at 1 g three times daily
2615,Answer B: 3% saline to increase SNa+ 4–6 mEq/L
2616,Answer C: Weight gain >3 kg after exercise
2617,"Answer C: Continue desmopressin, decreasing fluid intake in response to thirst only  "
2618,Answer B: Desmopressin at 4 µg subcutaneously plus intravenous 5% dextrose in water (D5W) to achieve a serum sodium of 118–122 mEq/L
2619,Answer A: Discontinue metformin 2–3 days before CA
2620,Answer A: Discontinue furosemide and begin intravenous 0.9% saline at 125 ml/h
2621,Answer D: Decrease dietary sodium intake to 2–3 g/d
2622,Answer A: 4.0 L
2623,Answer A: Excessive water intake and retention
2624,Answer D: Observation of clinical status after correction of hypovolemia
2625,Answer A: Torsemide has increased bioavailability and a longer half-life
2626,Answer B: 1.8 L
2627,"Answer D: Respiratory acidosis, metabolic alkalosis, and metabolic acidosis  "
2628,Answer C: Bartter syndrome
2629,Answer B: Start chlorthalidone
2630,Answer A: Hypomagnesemia
2631,Answer A: Decreased activity of 11β-hydroxysteroid dehydrogenase
2632,Answer A: The frequency of colonic necrosis is approximately 0.1%
2633,Answer B: Increased activity of the NCC in the distal convoluted tubule
2634,Answer C: Urine calcium-to-creatinine ratio
2635,Answer D: The early distal convoluted tubule
2636,Answer E: Proximal renal tubular acidosis
2637,Answer D: Incomplete distal renal tubular acidosis (type 1)
2638,Answer C: An 18-year-old woman with sensorineural hearing loss and goiter
2639,Answer B: Gentamicin
2640,Answer A: Ammonium chloride challenge test
2641,Answer C: Isotonic sodium bicarbonate infusion
2642,Answer D: Continue current regimen
2643,Answer A: His race
2644,Answer B:  It is associated with increased waitlist mortality
2645,"Answer D:  His risk of contracting HIV, hepatitis C virus (HCV), or hepatitis B virus from a PHS-IRD donor is <1%  "
2646,Answer C:  Her projected waiting time for a deceased donor kidney is likely to be <4 months Educational objective: Counsel a prior living donor about options for transplantation
2647,Answer A:  Consent to receive an HCV-positive kidney may dramatically reduce his waiting time Educational objective: Counsel a patient with hepatitis C virus infection about treatment and the benefits and risks of consenting to a hepatitis C seropositive donor kidney
2648,Answer D:  AKI in the donor kidney does not affect allograft function at 1 year Educational objective: Know the outcomes of transplanting donor kidneys with AKI
2649,Answer A:  The presence of the donor-specific antibody increased her risk of DGF
2650,Answer C:  Pregnancy after kidney donation is associated with an increased risk of gestational hypertension and preeclampsia
2651,Answer C:  It is three to five times higher than non-donors in the general population
2652,Answer E:  It is associated with an increased risk of acute rejection
2653,Answer D:  Induction therapy associates with approximately 50% rejection risk reduction compared to no induction therapy
2654,Answer A:  Dose reductions stemming from adverse effects are associated with an increased risk of rejection and graft failure Educational objective: Cite the benefits and risks of mycophenolate use after kidney transplantation
2655,Answer B:  Blood transfusion may induce donor-specific antibody and an increased risk of rejection Educational objective: Know the risks and recommended methods of transfusion in transplant recipients
2656,Answer D:  HLA antibody desensitization is associated with inferior patient and graft survival compared with HLA-compatible transplantation
2657,Answer E:  Urine protein-to-creatinine and/or urine albumin-to-creatinine ratio
2658,Answer C:  A biphosphonate
2659,Answer A:  Subtotal parathyroidectomy
2660,Answer A:  Transition MMF to azathioprine >6 weeks prior to attempts to conceive and plan to increase tacrolimus about 20%-25% during the second trimester to maintain therapeutic levels Educational objective: Manage immunosuppression prior to and during pregnancy
2661,Answer D:  Lisinopril
2662,Answer C:  His risk of DGF is higher than nonobese transplant recipients
2663,Answer A:  Midodrine use
2664,Answer B:  Use of thymoglobulin induction therapy
2665,Answer A:  Development of de novo donor-specific antibodies
2666,Answer A:  An additional 1-year waiting time (total waiting time = 2 years) on the basis of prior skin cancer history
2667,Answer D:  Recurrent MN with progressive proteinuria typically responds to rituximab Educational objective: Know the outcomes of recurrent membranous nephropathy after transplantation
2668,Answer A:  She is an eligible candidate for SPK transplantation
2669,Answer D:  SPK transplant waiting time is substantially shorter than for deceased donor kidney transplant alone
2670,"Answer C:  A 54-year-old man with HCV infection, type 2 diabetes mellitus, an eGFR of 35-40 ml/min/1.73m2, and proteinuria of 1g/day "
2671,Answer A:  A lower incidence of CMV viremia
2672,Answer A:  A lower incidence of acute rejection
2673,"Answer D:  An increase in incident fistula rate, a decline in graft rate, and no change in catheter rate "
2674,Answer C:  An improvement in serum albumin
2675,Answer E: The fact that she is female
2676,Answer E:  The risk of death is lower with fistulas than with grafts
2677,Answer C:  Placement of an early cannulation arteriovenous graft
2678,Answer C:  Measurement of access flow and cardiac output
2679,Answer E:   No additional intervention
2680,Answer B:  Placement of tunneled central vein catheter closer to the initiation of dialysis Educational objective: Choice of appropriate hemodialysis access
2681,Answer B:  Small-dose venography to assess peripheral and central veins
2682,Answer B:  Its use will be associated with no clinically meaningful increase in arteriovenous graft patency
2683,"Answer B:  Superior patency at 6, 12, and 24 months  "
2684,Answer D:  Continue to use the fistula with blood flows <450 ml/min
2685,Answer A:  It is associated with an increased risk of unassisted fistula maturation failure in comparison with no stenosis
2686,Answer C:  The optimal tests for identifying an inflow stenosis are access flows <650 ml/min or the combination of a positive physical examination plus access flows <650 ml/min
2687,Answer B:  A reduced risk of subsequent fistula thrombosis
2688,Answer B:  Patients undergoing fistula thrombectomy within 24 hours of diagnosis have higher patency rates at 3 months than do patients treated later
2689,Answer B:  Advanced laparoscopic placement has lowest mechanical complication rate Education objective: Explain technical considerations of peritoneal dialysis catheter insertion
2690,Answer B:  Patients starting PD 1 week after catheter placement had significantly higher leaks in comparison with patients who started after 4 weeks
2691,Answer A:  Patient-targeted educational interventions increase the odds of receiving PD as the initial treatment modality
2692,Answer A:  Ultrasonographic flow measurements and left arm arteriogram
2693,Answer B:  A complication from use of the citrate lock solution
2694,Answer D:  Exchange the tunneled catheter over a guidewire with balloon angioplasty to disrupt the fibrin sheath
2695,Answer B:  Refer the patient immediately to the vascular surgeon for evaluation for impending rupture of the arteriovenous access
2696,Answer B:  Her radiocephalic arteriovenous fistula is an excellent choice for vascular access for intensive HD
2697,"Answer B:  Refer the patient for a low-dose contrast angiogram, including direct arteriogram Educational objective: Manage arteriovenous access inflow stenosis"
2698,"Answer C:  In nonmaturing fistulas, accessory veins should be ligated if they divert >25 percent of the outflow"
2699,Answer C:  Plan contrast venography of her central veins to evaluate for unsuspected central venous stenosis
2700,Answer C:  A twofold increase in peak systolic flow velocity ratio
2701,Answer B:  Hydronephrosis
2702,Answer D:  A discontinuous thrill with only a systolic component at the juxta-anastomotic site
2733,Answer D:  The fellow tells the patient that his kidney disease is caused by a mutation in the gene that encodes the alpha-5 chain of type IV collagen
2734,Answer A:  Genetic analysis for hereditary forms of FSGS
2735,Answer A:  The IgG in the kidney biopsy may be monoclonal
2736,"Answer B:  The worsening kidney function may be due thrombotic microangiopathy from the sunitinib, and you would like to do a kidney biopsy for diagnosis before recommending any changes to the patient’s cancer therapy "
2737,Answer D:  A kidney biopsy to verify your suspicion that this patient has staphylococcal-associated IgA GN
2738,Answer D:  Cryoglobulinemia can occur with hepatitis C and hepatitis B
2739,Answer D:  What was the magnitude and time course of the patient’s hematologic response to therapy
2740,Answer B: Serum immunofixation plus serum free light chains
2741,Answer C:  Avoid nonsteroidal anti-inflammatory drugs and proton pump inhibitors
2742,"Answer C:  You continue treatment for anti-GBM disease with plasmapheresis, steroids, and cyclophosphamide, and after the patient goes into remission you provide the patient with maintenance immunosuppression  "
2743,Answer A:  A combination of low-dose tacrolimus and low-dose mycophenolate mofetil (MMF) with prednisone
2744,Answer C:  Talk to the patient about repeating a kidney biopsy to determine if her lupus nephritis is still active or if the proteinuria represents chronic disease and immunosuppression can be safely tapered
2745,Answer B:  Add an antimalarial to the regimen
2746,Answer C:  Dialysis vintage >5 years
2747,Answer D:  Restart MMF and corticosteroids to treat a presumptive diagnosis of class V plus class III or IV lupus nephritis
2748,Answer C:  Rituximab
2749,Answer C:  ANCA became undetectable after induction therapy
2751,"Answer D:  Because the patient did not have lung or upper respiratory vasculitis, her chances of disease relapse while she is using dialysis are lower "
2752,"Answer D:  The patient had moderately severe MPO-ANCA-associated nephritis, received induction therapy with oral cyclophosphamide, and became ANCA negative when maintenance therapy was initiated "
2753,Answer A:  His serum creatinine level at presentation is an independent predictor of dialysis dependency at one year
2754,Answer B:  Begin enzyme replacement therapy now
2755,Answer C:  COL4 (type IV chain of collagen)
2756,"Answer D: Antiviral therapy, rituximab or cyclophosphamide, plus plasmapheresis "
2757,Answer B: Entecavir
2758,Answer D: Cyclophosphamide plus corticosteroids
2759,Answer C:  Conduct further hematological investigation to search for a B cell clone
2760,Answer C: Anti-B cell therapy with rituximab plus bendamustine
2761,Answer A: IgG4-related disease
2762,Answer C:  Further evaluation should include testing for hepatitis C virus infection Educational objective: Counsel a patient with fibrillary glomerulonephritis
2763,Answer C:  A QRS-T angle ≥75 on signal-averaged electrocardiogram
2764,Answer D:  Elevated BMI is associated with improved survival in patients who have evidence of systemic inflammation
2765,Answer D:  It is not inferior to cinacalcet in lowering PTH concentrations
2766,Answer A:  The risk of SCD is the same in HD and PD
2767,Answer C:  A drop in systolic pressure to <90 mmHg is associated with increased mortality risk Educational objective: Cite the significance of intradialytic hypotension in patients treated with hemodialysis
2768,Answer B:  HDF provides superior β-2 microglobulin clearance
2769,Answer B:  Moderate interstitial lung edema by lung ultrasonography is associated with increased risk of death
2770,Answer D:  His diagnosis of acute myocardial infarction
2771,Answer A:  AF is associated with an increased risk of ischemic stroke
2772,Answer A:  Reduce apixiban to 2.5 mg twice daily
2773,Answer D:  Ergocalciferol
2774,Answer D:  A reduction in the progression of coronary artery calcification
2775,Answer A:  Higher dialysate sodium concentration
2776,"Answer C:  Elevated FGF23 levels in ESRD are associated with an increased risk of cardiovascular events, infections, and mortality "
2777,Answer A:  The majority of patients on HD experience deterioration of cognitive function
2778,Answer D:  Roxadustat is a possible future alternative agent for the treatment of his anemia
2779,Answer A:  PIH is associated with higher all–cause hospitalization and mortality
2780,Answer C:  Tenapanor caused a dose-dependent reduction in the serum phosphate concentration
2781,Answer A:  Preoperative prophylactic antibiotics reduce the risk of early peritonitis Educational objective: Counsel a patient about early peritonitis complicating initiation of peritoneal dialysis
2782,Answer D:  Recurrent and recent bacterial peritonitis
2783,Answer C:  Centers with >29% of dialysis patients treated with PD
2784,Answer A:  Abdominal wall complications can be reduced to <10% by initiating PD with low dwell volumes with gradual titration over the first month of therapy
2785,Answer A: Patients who have cirrhosis and ESRD who are treated with PD have a significantly lower mortality in comparison with HD patients who have cirrhosis and ESRD.
2786,Answer B:  Active smoking/substance abuse
2787,Answer A:  There is a U-shaped association between hemoglobin A1c levels and mortality  Educational objective: Correctly characterize the epidemiology of mortality and glucose metabolism in ESRD
2788,"Answer D:  Diabetic ESRD patients who receive probiotics containing lactobacillus were found to have decreased fasting serum glucose and serum insulin, along with increased insulin sensitivity "
2789,Answer A:  Her fraction of total MGP that is carboxylated is more likely to be lower
2790,Answer A:  Incremental HD is associated with a significantly slower decline in residual kidney function compared with conventional dialysis
2791,Answer A:  Avoid skin trauma and subcutaneous injections
2792,Answer C:  Maintenance IV iron is not associated with a greater likelihood of achieving hemoglobin between 10 and 12 g/dl
2793,Answer A:  Cystoscopy and computed tomographic urogram if the cystoscopy is normal
2794,Answer B: Glomerular hypertrophy
2795,Answer D:  Start empiric therapy with oral corticosteroids
2796,Answer A:  Perform genetic testing for a podocytopathy
2797,Answer C:  Anti-thrombospondin 7A staining of the renal biopsy specimen
2798,Answer E:  Observe with renin-angiotensin inhibition therapy only
2799,Answer B:  Combinations of rituximab with low-dose cyclophosphamide can achieve very high remission rates
2800,"Answer D:  Treatment with high-dose steroids, cyclophosphamide, and plasmapheresis  Educational objective: Choose the best treatment strategy for rapidly progressive crescentic IgA nephropathy "
2801,Answer E:  Increased serum C3 and normal C4 levels
2802,"Answer B:  A posttransplant regimen consisting of tacrolimus, MMF, and early corticosteroid withdrawal "
2803,Answer C:  Serum free light chains and immunofixation
2804,Answer D:  Stain biopsy specimen for DNAJB9 deposition
2805,Answer A:  Presence of two APOL1 high-risk alleles
2806,Answer B:  6.6 per 100 patient years
2807,Answer: His age
2808,Answer B:  Information on his birth weight will be of value in determining his prognosis Educational objective: Discern that low birth weight and low nephron endowment is an important risk factor for progression of focal and segmental glomerulosclerosis
2809,Answer A:  Serum anti−PLA2R antibody negative and PLA2R1 antigen positive in glomeruli Educational objective: Know that the absence of anti-PLA2R antibody in the serum and positive histologic PLA2R antigen staining in membranous nephropathy with normal kidney function is a reliable indicator of remission at 6 months
2810,Answer C:  Rituximab therapy would likely offer better prospects for long-term control of her disease
2811,Answer C:  Magnitude of proteinuria
2812,Answer D:  Normal with no abnormality seen
2813,Answer A:  Lower mesangial proliferation grade
2814,Answer D:  IgM and C3 deposition
2815,Answer C: Repeated immunofluorescence study of a pronase digested paraffin block section
2816,Answer B:  Initiate treatment with rituximab
2817,Answer A:  Increased C4d mesangial deposition
2818,Answer C:  Serum free light chain assay
2819,Answer C:  Staining of renal biopsy specimen for DNAJB9
2820,Answer B:  Serum albumin <2.5 g/dl at the time of diagnosis prior to transplant
2821,Answer C: Rituximab 375 mg/m2 weekly for 4 doses
2822,Answer A:  IgA nephropathy
2823,Answer D:  AKI requiring dialysis
2824,Answer B:  No difference in mortality at 90 days
2825,Answer B:  Increased incidence of gastrointestinal complications
2826,Answer B:  Her duration of RRT will be shorter
2827,Answer B:  An increased risk of AKI requiring RRT
2828,Answer C:  Decreased risk of progressive AKI requiring dialysis
2829,Answer D:  Early adminstration of appropriate antibiotics
2830,Answer B:  A 76-year-old woman with a serum creatinine that has increased from 0.7 mg/dl to 1.0 mg/dl over 3 days
2831,"Answer B:  A reduction in RRT events, inpatient mortality, and radiocontrast exposure "
2832,"Answer C:  Fewer cases of severe AKI, a higher incidence of renal recovery, and increased early nephrology consultation "
2833,Answer B:  A decreased rate of stage 2 and 3 AKI
2834,Answer C:  Delayed graft function after renal transplantation
2835,Answer B:  A 62-year-old man with a stage G3a:A1 CKD (eGFR 46 ml/min per 1.73 m2) scheduled for elective coronary artery bypass surgery with a GFR that increases by 42 ml/min per 1.73 m2 after a protein load of 1.2 g/kg body weight
2836,Answer B:  Urine neutrophil gelatinase-associated lipocalcin
2837,Answer B:  The transcatheter approach for aortic valve replacement may be associated with a lower risk of AKI compared to a surgical approach
2838,Answer C:  Neither N-acetylcysteine compared to placebo nor isotonic bicarbonate therapy compared to saline is more likely to reduce the risk of dialysis-requiring AKI after contrast exposure
2839,Answer D:  There is no significant difference in outcomes between diffusive or convective modalities of CRRT
2840,Answer B:  It increases his risk of incident congestive heart failure
2841,"Answer B:  Continuous RRT, if chosen, should be provided with effluent flow rate of at least 20 ml/kg per h "
2842,Answer A:  Isolated severe right ventricular systolic dysfunction (right ventricular ejection fraction of 25%)
2843,Answer D: Vancomycin nephrotoxicity has been associated with trough levels ≥15 mg/L
2844,Answer C:  The combination of vancomycin and piperacillin-tazobactam is associated with a higher risk of AKI than either antibiotic alone
2845,Answer A:  The reduction in the NT-proBNP level of >30% is associated with improved survival independent of the change in kidney function
2846,"Answer B:  Although she experienced transient azotemia that returned to baseline within 3 days, she still is at a high risk for readmission than are patients without AKI  "
2847,Answer D:  Her pre-ESRD episode of AKI is associated with a 30% greater risk of mortality at 1 year in comparison with patients without AKI before incident dialysis
2848,Answer A:  Off-pump surgery in eligible patients is associated with a reduced risk of AKI during the first postoperative month
2849,Answer A:  Acute tubulointerstitial nephritis with podocyte injury
2850,Answer C:  Continuous RRT
2851,Answer A: Ipilimumab-related hypophysitis with secondary adrenal insufficiency
2852,Answer A:  Focal and segmental glomerulosclerosis plus thrombotic microangiopathy
2853,Answer D:  The patient does not need to be isolated because he has developed immunity as the result of a prior hepatitis B infection
2854,Answer C:  He has hepatitis C infection and has previously been infected with hepatitis B
2855,Answer C: Order a chest radiograph
2856,Answer D:  Immediately transfer the patient to a hospital for both airborne and contact isolation Educational objective: Recognize disseminated herpes zoster and recommend appropriate infection-control precautions
2857,Answer C:  After contact with a patient with a recent diagnosis of Clostridioides difficile-induced diarrhea
2858,"Answer C:  Make alcohol-based hand rub readily available near dialysis stations, and observe hand hygiene opportunities monthly, providing staff with feedback regarding their performance  Educational objective:  Implement current recommendations for hand hygiene in hemodialysis clinics "
2859,"Answer B:  Failure of personnel to change gloves and perform hand hygiene when moving between patients, between patients and potentially-contaminated surfaces, and between machines "
2860,Answer C:  Avoid administration of medications from the same syringe to more than one patient Educational objective:  Identify risk factors associated with safe injectable medication handling and administration in hemodialysis clinics
2861,Answer D:  Reverse osmosis membrane
2862,Answer B:  A blood leak due to a ruptured dialyzer membrane
2863,Answer D: Recent exposure to hepatitis B vaccine
2864,Answer C:  Failure to perform proper hand hygiene between patient encounters
2865,Answer B:  Use an alcohol-based chlorhexidine (>0.5%) solution for cleansing the exit site skin and scrub the hub with 70% alcohol
2866,Answer D:  Double application of tuberculocidal disinfectant
2867,"Answer A:  Develop action plans to improve infection control practices, explaining the rationale of each plan with provision of feedback on the plan’s impact  "
